City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,henties bay,-22.116,14.2845,60.01,95,0,3.0,NA,1615602849
1,bethel,41.3712,-73.414,53.6,24,1,6.91,US,1615602849
2,saint-francois,46.4154,3.9054,45.0,70,75,6.91,FR,1615602850
3,ushuaia,-54.8,-68.3,46.4,87,75,42.57,AR,1615602850
4,mar del plata,-38.0023,-57.5575,64.99,76,0,2.3,AR,1615602850
5,kruisfontein,-34.0033,24.7314,68.77,55,57,6.31,ZA,1615602851
6,bronnoysund,65.4625,12.1997,37.4,75,75,3.44,NO,1615602851
7,yumen,40.2833,97.2,53.31,19,89,33.51,CN,1615602852
8,albany,42.6001,-73.9662,42.01,40,2,3.0,US,1615602560
9,dikson,73.5069,80.5464,-12.64,91,100,24.72,RU,1615602788
10,ossora,59.2353,163.0719,20.86,67,100,7.02,RU,1615602792
11,vaini,-21.2,-175.2,80.6,78,75,13.8,TO,1615602852
12,castro,-24.7911,-50.0119,61.21,83,27,3.33,BR,1615602853
13,vanimo,-2.6741,141.3028,82.4,81,69,2.93,PG,1615602853
14,san cristobal,7.7669,-72.225,75.2,78,40,4.61,VE,1615602608
15,ulladulla,-35.35,150.4667,84.2,58,40,8.05,AU,1615602854
16,ewa beach,21.3156,-158.0072,78.8,73,90,14.97,US,1615602854
17,bluff,-46.6,168.3333,64.99,66,0,7.0,NZ,1615602855
18,maldonado,-34.6667,-54.9167,68.0,60,0,6.91,UY,1615602855
19,mataura,-46.1927,168.8643,64.99,66,0,7.0,NZ,1615602855
20,jamestown,42.097,-79.2353,33.01,69,1,12.12,US,1615602640
21,geraldton,-28.7667,114.6,78.8,38,0,21.85,AU,1615602678
22,punta arenas,-53.15,-70.9167,51.8,82,90,21.85,CL,1615602741
23,mitu,1.1983,-70.1733,72.12,93,95,1.3,CO,1615602856
24,da nang,16.0678,108.2208,80.6,69,20,3.44,VN,1615602801
25,bredasdorp,-34.5322,20.0403,55.4,94,40,3.44,ZA,1615602857
26,port alfred,-33.5906,26.891,75.27,69,66,15.88,ZA,1615602857
